127.0.0.1 - - [02/Jul/2018:10:10:23 +0200] "GET / HTTP/1.1" 500 58090
127.0.0.1 - - [02/Jul/2018:10:10:24 +0200] "GET /favicon.ico HTTP/1.1" 200 21630
127.0.0.1 - - [02/Jul/2018:10:11:02 +0200] "GET /dist/EsmSite HTTP/1.1" 302 -
127.0.0.1 - - [02/Jul/2018:10:11:02 +0200] "GET /dist/EsmSite/ HTTP/1.1" 200 784
127.0.0.1 - - [02/Jul/2018:10:11:02 +0200] "GET /dist/EsmSite/node_modules/@angular/material/prebuilt-themes/indigo-pink.css HTTP/1.1" 404 1173
127.0.0.1 - - [02/Jul/2018:10:11:02 +0200] "GET /dist/EsmSite/polyfills.7a0e6866a34e280f48e7.js HTTP/1.1" 200 59561
127.0.0.1 - - [02/Jul/2018:10:11:02 +0200] "GET /dist/EsmSite/runtime.a66f828dca56eeb90e02.js HTTP/1.1" 200 1053
127.0.0.1 - - [02/Jul/2018:10:11:02 +0200] "GET /dist/EsmSite/styles.bd3be837c34c35a5bb08.css HTTP/1.1" 200 202941
127.0.0.1 - - [02/Jul/2018:10:11:02 +0200] "GET /dist/EsmSite/main.16c9c98ebca881fce503.js HTTP/1.1" 200 1957284
127.0.0.1 - - [02/Jul/2018:10:12:47 +0200] "GET /dist/EsmSite/favicon.ico HTTP/1.1" 404 1106
127.0.0.1 - - [02/Jul/2018:10:12:47 +0200] "GET /dist/EsmSite HTTP/1.1" 302 -
127.0.0.1 - - [02/Jul/2018:10:12:47 +0200] "GET /dist/EsmSite/node_modules/@angular/material/prebuilt-themes/indigo-pink.css HTTP/1.1" 404 1173
127.0.0.1 - - [02/Jul/2018:10:12:48 +0200] "GET /dist/EsmSite/favicon.ico HTTP/1.1" 404 1106
127.0.0.1 - - [02/Jul/2018:10:13:38 +0200] "GET /dist/EsmSite/Tier_Def.jpg HTTP/1.1" 404 1107
127.0.0.1 - - [02/Jul/2018:10:15:12 +0200] "GET /dist/EsmSite/ HTTP/1.1" 200 784
127.0.0.1 - - [02/Jul/2018:10:15:12 +0200] "GET /dist/EsmSite/node_modules/@angular/material/prebuilt-themes/indigo-pink.css HTTP/1.1" 404 1173
127.0.0.1 - - [02/Jul/2018:10:15:12 +0200] "GET /dist/EsmSite/styles.bd3be837c34c35a5bb08.css HTTP/1.1" 200 202941
127.0.0.1 - - [02/Jul/2018:10:15:12 +0200] "GET /dist/EsmSite/runtime.a66f828dca56eeb90e02.js HTTP/1.1" 200 1053
127.0.0.1 - - [02/Jul/2018:10:15:12 +0200] "GET /dist/EsmSite/polyfills.7a0e6866a34e280f48e7.js HTTP/1.1" 200 59561
127.0.0.1 - - [02/Jul/2018:10:15:12 +0200] "GET /dist/EsmSite/main.16c9c98ebca881fce503.js HTTP/1.1" 200 1957284
127.0.0.1 - - [02/Jul/2018:10:15:12 +0200] "GET /dist/EsmSite/node_modules/@angular/material/prebuilt-themes/indigo-pink.css HTTP/1.1" 404 1173
